title,date,issues1,issues2,issues3,signatures
Divest or put in a blind trust all of the President's business and financial assets,"January 20, 2017",Government & Regulatory Reform,NA,NA,366982
Please ask New York state to overturn recent abortion expansion laws.,"January 23, 2019",Civil Rights & Equality,Government & Regulatory Reform,NA,306689
Repeal the NFA,"January 20, 2017",Foreign Policy,Government & Regulatory Reform,Gun Violence,305145
Do Not Repeal Net Neutrality,"November 22, 2017",Government & Regulatory Reform,Technology & Innovation,NA,282617
Revoke the U.S. Citizenship and Visas of the Hong Kong and China Officials who are in Support of the Extradition Bill.,"June 11, 2019",Civil Rights & Equality,Foreign Policy,Immigration,280679
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"April 11, 2017",Civil Rights & Equality,NA,NA,214336
Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,"December 08, 2018",Energy & Environment,Foreign Policy,Veterans & Military,211584
Impeach Nancy Pelosi for crimes of Treason!,"January 18, 2019",Foreign Policy,Homeland Security & Defense,Immigration,201928
"Make Junius Ho Kwan Yiu and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","July 21, 2019",Civil Rights & Equality,Foreign Policy,Immigration,195287
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law,"August 20, 2017",Criminal Justice Reform,Government & Regulatory Reform,Homeland Security & Defense,192542
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,"June 11, 2019",Civil Rights & Equality,Criminal Justice Reform,Government & Regulatory Reform,176424
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","June 19, 2018",Foreign Policy,NA,NA,164744
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,"August 05, 2019",Foreign Policy,Gun Violence,Homeland Security & Defense,154156
"Deport Maria Gabriela Chavez, and send her back to Venezuela.","March 03, 2019",Foreign Policy,NA,NA,150553
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"February 16, 2018",Veterans & Military,NA,NA,145022
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"January 20, 2017",Civil Rights & Equality,Foreign Policy,Government & Regulatory Reform,142178
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.","January 04, 2019",Civil Rights & Equality,Homeland Security & Defense,NA,138359
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars.","June 30, 2018",Criminal Justice Reform,Economy & Jobs,NA,137211
Please Send Medical Army to Hong Kong. Hong Kong is under a Humanitarian Disaster.,"August 10, 2019",Foreign Policy,NA,NA,135947
Extradition Law Amendment in Hong Kong - Threat to Personal Safety and Freedom,"May 15, 2019",Civil Rights & Equality,Foreign Policy,NA,133102
Protect Free Speech in the Digital Public Square,"August 28, 2018",Civil Rights & Equality,Technology & Innovation,NA,130764
CONDEMN India's Denial of Justice to the Victims of November 1984 Sikh Genocide,"October 27, 2017",Foreign Policy,NA,NA,124741
STOP THE COLLECTIVE PUNISHMENT OF MINORITIES IN SOUTH AFRICA,"October 12, 2018",Civil Rights & Equality,Foreign Policy,NA,123944
Over 1.5 Million American jobs in jeopardy upon the change of the EB-5 rule – Must re-define the limitations of the visa,"March 15, 2018",Immigration,NA,NA,123149
Expulsion For Maxine Waters - Remove Her From Congress,"June 25, 2018",Government & Regulatory Reform,Homeland Security & Defense,Immigration,122890
We The People Call for The Resignation of FCC Chairman Ajit Varadaraj Pai,"November 23, 2017",Civil Rights & Equality,Technology & Innovation,NA,119730
"Award the Presidential Medal of Freedom to Parkland Shooting HERO and victim, Peter Wang, who died saving others","November 22, 2018",Veterans & Military,NA,NA,117857
Please pass the bill “Hong Kong Human Rights and Democracy Act”,"July 08, 2019",Civil Rights & Equality,Foreign Policy,NA,116896
Save Oleg Sentsov,"August 09, 2018",Civil Rights & Equality,Foreign Policy,NA,116708
President Trump: Please liberate Hong Kong from Communist China's occupation,"June 18, 2019",Foreign Policy,NA,NA,113102
A Peace Treaty on the Korean Peninsula,"March 15, 2018",Government & Regulatory Reform,NA,NA,112068
"Petition calling for the suspension of crowd control equipment exports to Hong Kong, prevent human rights abuses","July 05, 2019",Civil Rights & Equality,Foreign Policy,Gun Violence,111515
Sanction Daniel Ortega under the Magnitsky Act,"May 30, 2018",Civil Rights & Equality,Foreign Policy,NA,109349
Juniors Law,"June 26, 2018",Criminal Justice Reform,NA,NA,109144
"American people, say NO loudly to sexual assault!","October 28, 2017",Criminal Justice Reform,Foreign Policy,Homeland Security & Defense,108691
Condemn China's Concentration Camps and Prevent a 21st Century Holocaust in East Turkistan,"September 09, 2018",Foreign Policy,Homeland Security & Defense,NA,107796
Saivian LLc. USA and Saivian International Inc Scam,"September 09, 2017",Budget & Taxes,Criminal Justice Reform,Economy & Jobs,107755
Requesting international humanitarian aid/assistance for unprotected Hong Kong citizens,"July 21, 2019",Civil Rights & Equality,Criminal Justice Reform,Homeland Security & Defense,106359
Request for Sanctions Against Those Responsible for the Extradition Law Amendment in Hong Kong,"June 11, 2019",Foreign Policy,Homeland Security & Defense,Immigration,105352
Recognize the Rapid Support Forces led by General  Hemedti (Janjaweed leader) in Sudan as Terrorist Organization,"June 06, 2019",Civil Rights & Equality,Foreign Policy,Homeland Security & Defense,101641
Chinese police impersonating Hong Kong police officers in anti-extradition bill protest,"August 10, 2019",Civil Rights & Equality,Foreign Policy,NA,52143
"Sanction Hong Kong government for its State Terrorism activity conducted in Yuen Long train station, Hong Kong on 7/21","July 22, 2019",Civil Rights & Equality,Foreign Policy,NA,42051
Call for Official Recognition of the Chinese Communist Party as a Terrorist Organization,"August 11, 2019",Foreign Policy,Gun Violence,Homeland Security & Defense,23706
We demand the rejection of Andy Tsang's nomination to United Nations positions,"July 28, 2019",Civil Rights & Equality,Foreign Policy,Gun Violence,21929
Conduct an Immediate Congressional Investigation Into Rep. Ilhan Omar,"July 16, 2019",Homeland Security & Defense,Immigration,NA,13923
Send military force to Hong Kong to save citizens from the massacre carried out by the Hong Kong Police beginning 11 Aug,"August 11, 2019",Foreign Policy,NA,NA,10395
Rep Jackie Speier (CA) wants to rename Lejeune High School in NC after Rep Walter B. Jones. We (Alumni) oppose this.,"July 17, 2019",Education,Transportation & Infrastructure,Veterans & Military,3798
Protect our Camping and OHV rights! Petition to Keep OCEANO DUNES SVRA open!,"July 16, 2019",Economy & Jobs,Energy & Environment,Veterans & Military,3195
Indian-Americans urge Donald Trump to 'fully support' India on Jammu & Kashmir.,"August 07, 2019",Foreign Policy,NA,NA,2885
"Give the Kashmiri people their rights and protect their freedom, property and life.","August 05, 2019",Civil Rights & Equality,Foreign Policy,Homeland Security & Defense,2065
Conduct an Immediate Congressional Investigation Into Rep. Ilhan Omar,"July 16, 2019",Homeland Security & Defense,Immigration,NA,1943
Bring Back 2011 HR: 1364- Freedom of Speech in Science Act,"July 20, 2019",Civil Rights & Equality,Government & Regulatory Reform,Health Care,1871
